id,desc
1,完成以下所有任務
2,登入遊戲
3,累計完成3次販賣機抽獎
4,累計完成5次校園聯賽戰鬥
5,成功挑戰1次好友boss
6,累計完成2次點金
7,累計消耗500鑽石
8,完成以下所有任務
9,登入遊戲
10,累計完成1個4星打工任務
11,在福利社購買1次商品
12,累計獲得6次每日測驗勝利
13,累計贈送15顆愛心
14,累計完成3次高級扭蛋
15,完成以下所有任務
16,登入遊戲
17,累計進行5次掛機收穫
18,累計完成10次校園聯賽戰鬥
19,累計進行50次戰姬升級
20,累計合成10件裝備
21,累計消耗1000鑽石
22,完成以下所有任務
23,登入遊戲
24,轉學10名戰姬
25,在福利社購買2次商品
26,累計獲得12次每日測驗勝利
27,完成5次友情扭蛋
28,累計完成6次高級扭蛋
29,完成以下所有任務
30,登入遊戲
31,累計完成6次販賣機抽獎
32,累計完成15次校園聯賽戰鬥
33,成功挑戰2次好友boss
34,累計完成4次點金
35,累計消耗1500鑽石
36,完成以下所有任務
37,登入遊戲
38,累計完成2個4星打工任務
39,在福利社購買3次商品
40,累計獲得18次每日測驗勝利
41,累計贈送30顆愛心
42,累計完成9次高級扭蛋
43,完成以下所有任務
44,登入遊戲
45,累計進行10次掛機收穫
46,累計完成20次校園聯賽戰鬥
47,累計進行100次戰姬升級
48,累計合成20件裝備
49,累計消耗2000鑽石
